,x,y,PassiveActive
36,[cls] یک زن به دلیل نارضایتی بچه‌اش از خانواده شوهرش، توسط شوهر و مادر شوهرش مورد ضرب و شتم قرار گرفت. بچه‌اش دچار درد و زخم‌هایی شد. زن نمی‌داند چه کاری باید بکند. [sep] طفلی بچه [sep],empathy,Passive
38,[cls] شوهرم دیشب با من جدال کرد و من از او ناراحت شدم. خانه هم بهم ریخت و من از این وضعیت ناراحتم. شوهرم کمکی در کارهای خانه نمی‌کند و تنها در حال تماشای تلویزیون است. [sep] شوهر من از صبح تا غروب سرکاررفتارش با من خیلی سرد و بی مهراز در میاد تو خسته و کوفته‌، جواب سلام میده اکثر اوقات بعد لباس عوض میکنه ولو میشه رو مبل چایی و شام میخورهبعد سر تو گوشی و تلویزیون چند تا غر میزنه و شاکی از همه کسروی زمین میخوابههر وقتم بیش‌تر از دو کلمه حرف بزنم میگه خفه شو [sep],question or answer,Passive
42,[cls] یک زن و مرد بیرون رفتند و رانندگی کردند. مرد خوبی بود اما کمی کم حوصله بود. زن بار سوم یا چهارم رانندگی کرد و اشتباه کرد. مرد به شوخی گفت که اگر اشتباه کنی، باز هم می‌زنمت. زن دوباره اشتباه کرد و مرد به شدت داد زد و دهن زن کرخت شد. [sep] وای یا خدا. [sep],empathy,Passive
43,[cls] زنی که از شوهر خود مورد خشونت قرار گرفته بود، چند بار به شدت توسط او ضربه خورده بود. ۲/۳ سال پیش در یک دعوای بد، شوهر او او را شکست داده و به شدت ضربه زده بود. از آن زمان به بعد، او احساس می‌کرد که لبش کج می‌شود و دست و لبش می‌لرزید. [sep] لابد بچه دعوای شمارو دیده برده ارومش کنه [sep],empathy,Passive
44,[cls] شوهر دروغ می‌گوید که همسرش را کتک نزده و طلبکار است. همسر می‌گوید که شوهرش به دنبال دزدی و آبروزدایی است. آبروی همسر نیز در معرض تهدید است. [sep] منم از قسم دروغ خیلی میترسم عزیزم خدا بزرگه زمینم گرده میچرخه … [sep],empathy,Passive
46,[cls] شوهر ناراحتی به همسرش وارد کرده و از برادرش خواسته که او را به خانه برود. داداش نیز او را تشویق به ادامه زندگی با شوهرش می‌کند. اما همسر تصمیم به درخواست طلاق گرفته است. [sep] زنگ زده به داداشت که بیا خواهرتو ببر. بعد بهت میگه نرو؟ [sep],question or answer,Passive
48,[cls] فردی پس از دو هفته و نیم از شهر غریب بازگشت و سپس با مادرش به خانه خاله‌اش رفت. خاله‌اش اصرار کرد که شام بمانند، اما شوهر فرد او را تنها گذاشت. صبح روز بعد، در یک صحبت مودبانه، فرد عصبانی شد و با مشت به خودش زد. [sep] ای بابا دلیلش رو بپرس ازش رک و پوست کنده بهت بگه اینطوری که نمیشه [sep],question or answer,Passive
49,[cls] زنی که از تنهایی خسته شده بود، شوهر بداخلاقش او را مورد سوء استفاده قرار داد و او را زخمی کرد. او برای تزریق آمپول آی وی اف فردا باید بیمارستان را برود. اما شوهرش او را تنها گذاشت و هیچ کسی در شهر غریبی که زندگی می‌کرد به او کمک نمی‌کرد. [sep] شرایطتت خوب نیست حق داری ولی بچه اوردن مشکلت حل نمیکنه دو چندان هم میشه. اصلا با این محیط تنش و استرس ای وی اف هم کنی نمیگیره [sep],question or answer,Passive
50,[cls] یک زن صبح با شروع کارهای خانگی خودش مشغول شد. شوهرش بعدازظهر او را به خانه پدرشان برد، اما آنجا خانه نبود. زن بعد از بازگشت به خانه، با مشکلات دیگری مواجه شد، از جمله شکستن گلدان و دعوا با فرزندش. [sep] وا گیجه ببرش تیمارستان [sep],empathy,Passive
51,"[cls] a woman is upset because her husband received a message from another girl. she had a fight with her husband and his family, and was physically abused. she considered suicide but decided against it because of her mother's illness and her own pregnancy. she tried to leave the house but her husband stopped her. [sep] لعنت به مردای هرزه هرچقدرم خودمونو گول بزنیم چیزی عوض نمیشه تا همسرت نخواد اون زن نمبتونه کاری کنه متاسفانه باید مشکلتو با همسرت حل کنی وگرنه اگه بخواد ادامه بده این نباشه یکی دیگه پیدامیکنه [sep]",empathy,Passive
52,[cls] زنی به دلیل آزار و اذیت از شوهرش فرار کرده و به خانه پدرش رفته است. او به دلیل قفل شدن در، پلیس را صدا کرده و شکایت نامه تنظیم کرده است. همچنین طلاهایی که به عنوان هدیه عقد به او داده شده بود، به همراه خریداری‌های خودش نیز برداشته شده است. [sep] خب اگه بیاد چطوری میبخشی با تهمت باکره نبودنی که بهت زده [sep],question or answer,Passive
53,[cls] مهمونی دادی، من غذا خوردم و حالم بد شد. بهش گفتم بس کن، اما ادامه داد و به فوش ناموسی رسید. مادرم و پدر مرحومم هم درگیر شدند و من کتک خوردم. [sep] تاپیکاتو خوندم چقد احمقع شوهرت قدر همچین زنیو نمیدونه بی لیاقته واقعا [sep],empathy,Passive
54,[cls] شوهر وحشیانه با همسرش رفتار می‌کند، او صورت همسرش را گاز می‌گیرد و به او درد می‌رساند. همچنین، موهای همسرش را می‌کشاند و دماغش را فشار می‌دهد. همسرش از رفتار شوهرش ناراحت است و نمی‌داند چگونه این رفتار را ترک کند. [sep] یه بار فققققط یه بار شوهرم به شوخی موهامو کشید قاطیشون کرد انقدرررر گریه کردم دو ساعت گریه کردم رفتم جلو چشمش شونه اوردم شونه کردم با هزار بدبختی از هم بازشون کردم اشکامم داشت همینطوری میومدانقدر گفت ببخشید الان دیگه میدونه من چقدر شر هستم زودم دردم میگیره از این شوخیای دردناک نمیکنه [sep],question or answer,Passive
56,[cls] فردی با بدخلقی و ناشناسی درگیر شد، در جریان صحبت با او، لیوان چای ریخته شد و در نهایت لیوان دیوار شکست. فرد تصمیم گرفت با پدرش درباره رفتار این فرد صحبت کند. [sep] چ دیوانه [sep],empathy,Passive
59,[cls] مشکلات بین زوج جدا از داداش شوهر بود، اما داداش اشتباها درگیر شد. شوهر به داداش گفت که او را مسخره نمی‌کند، اما همسرش به او گفت که بیشتر باید محافظت کند. در نهایت، همسر به اتاق رفت و در رو قفل کرد. [sep] من خود شوهرم یباراینو فهمید. روزگارم سیاه کردحالا پیام از اون نوع پیام خیانت و اینا نبودب ی روانشناس پیام داده بودم واسه مشکلات م [sep],question or answer,Passive
60,[cls] یک زن به دلیل تجاوز شوهرش شکایت می‌کند، اما نمی‌خواهد طلاق بگیرد. او فقط می‌خواهد شوهرش تعهد کند دیگر دست به خشونت نزند. او از دیگران می‌خواهد که تجربه‌های خود را با او به اشتراک بگذارند. [sep] میفهمم چی میگی اما میدونی این وحشیا چرا همکار و پلیس و همسایه رو کتک نمیزنن چون میدونن پدرشون رو درمیارن اما زورشون به زن بی پشتوانه خودشون میرسه بزنن دماغشو بشکونن حال ادمو بهم میزنن با این خودزرنگ پنداری و قلدری [sep],empathy,Passive
62,[cls] شوهر بداخلاق و بحث‌گر است، خانواده را زجر می‌دهد و به همسرش بدمی‌گوید. همسر نمی‌داند چگونه با او برخورد کند و از وضعیت ناراحت است. شوهر همسرش را تحت فشار قرار داده و به او خشونت می‌آورد. [sep] عجب عوضیه ببخشید. طفلی مامان بابات پس مظلومن انگاروای جلو بچت [sep],empathy,Passive
64,[cls] همسرم چند بار من را زده و گلوم را گرفته است. او با دستش به من حمله می‌کند و من درد می‌کشم. آیا می‌توانم به پزشکی قانونی بروم؟ [sep] گفتم بذار خانوادهات برن جلو ولی چقدر دلم برای هم جنسای خودم میسوزه [sep],question or answer,Passive
66,[cls] یاد کتک‌هایی که خورده بودم می‌افتادم و حالم بد می‌شد. امشب هم خاطرات تلخ آن روز به ذهنم می‌رسید. یکبار کمرم به شدت به گوشه میز خورد و یکبار هم سرم به اپن. [sep] خطت و عوض کن [sep],question or answer,Passive
69,[cls] زندگی این شخص به دلیل از دست دادن پول، ماشین، جوانی، سلامتی و تحمل افسردگی حاد، بهم ریخته است. او به خدا التماس کرده که امروز بیرون برود و تصادف کند. او از مصیبت هایی که از دست اون کشیده است، خدا را می‌خواهد که خودش خوب شود. [sep] ای وای [sep],empathy,Passive
70,[cls] فردی که داستان را تعریف می‌کند، تحت شکنجه روحی و روانی قرار داشته و به دلیل عدم عروسی و کادو دادن، تحقیر شده است. او در نهایت متوجه می‌شود که زن عمویش برای او بدترین رفتار را داشته و در کودکی همیشه تحت شکنجه بوده است. او در حال حاضر تنهاست. [sep] یا خدا [sep],empathy,Passive
71,[cls] شوهر زن به خانه می‌آید و به او حمله می‌کند. زن به پلیس گزارش می‌دهد و شوهرش بازداشت می‌شود. داستان به پایان می‌رسد. [sep] اوین [sep],question or answer,Passive
74,[cls] زنی با شوهرش به دلیل تمایل به کار یا تحصیل دعوا می‌کند. شوهر هیچ کاری را پذیرفته و فقط از او می‌خواهد بچه‌هایشان را بزرگ کند. در نهایت، شوهر به زن خشمگین حمله کرده و او تصمیم به جدایی می‌گیرد. [sep] بله خوندم عزیزم من می‌خوام دخترمو بهم بده و ژلاقم بده نمیتونم با توهین‌های هروزه‌اش که به خانواده می‌کنه باهاش زندگی کنم حتی الآنم بخواد بهترین باشه نمیتونم قبول کنم نزدیکم بشه دلم نمی‌خواد ریختشو ببینم ولی دخترمو بهم نامیده نمی‌دونم چیکارکنم الان دیگه فک میکنم رسیدم ته خط بهتره خودمو بکشم وراحت کنم منی که کسی میخواست خودکشی کنه کلی نصیحتش میکردم ولی الان نمیتونم کم آوردم [sep],question or answer,Passive
75,[cls] یک زن به دلیل تجاوز شوهرش شکایت می‌کند، اما نمی‌خواهد طلاق بگیرد. او فقط می‌خواهد شوهرش تعهد کند دیگر دست به خشونت نزند. او از دیگران می‌خواهد که تجربه‌های خود را با او به اشتراک بگذارند. [sep] چقدر درمورد طلاق راحت حرف زده میشه انگار زندگی نون وماستهحالا بیاید منو بخورید [sep],question or answer,Passive
80,[cls] یک زن توسط شوهرش مورد خشونت قرار گرفته است. او به شدت زخمی شده و از خشونت شوهرش می‌ترسد. بابای او ازدواج کردن را به او پیشنهاد داده بود. [sep] طلاقت نمیده این وحشی؟؟ یا خودت نمیخوای [sep],question or answer,Passive
81,[cls] مشکلات بین زوج جدا از داداش شوهر بود، اما داداش اشتباها درگیر شد. شوهر به داداش گفت که او را مسخره نمی‌کند، اما همسرش به او گفت که بیشتر باید محافظت کند. در نهایت، همسر به اتاق رفت و در رو قفل کرد. [sep] تموم میشه عزیزم توکلت به خدا [sep],empathy,Passive
92,[cls] یک زن با نامزدش قرارداد ازدواج داشت، اما بعد از بارداری ناخواسته، شوهرش به دلیل بچه، از طلاق رضایت نداد. یک روز، در حالی که زن باردار در هفته هفتم بود، شوهرش او را به شدت ضربه زد و با دستان سنگینش، گوش زن را زد تا خون بریزد. در حین زدن، شوهر زن الکل نیز خورده بود. [sep] شاید باور نکنی ولی من هم باردار بودم شوهرم بدتر از اینو با من کرد یه کتک مفصل منو زد ۰بارها تو دوران بارداری کتکم زد ۰البته الان یکم بهتر شده ولی باز وقتی خیلی عصبانی بشه کتکم میزنه [sep],question or answer,Passive
97,[cls] یک زن با نامزدش قرارداد ازدواج داشت، اما بعد از بارداری ناخواسته، شوهرش به دلیل بچه، از طلاق رضایت نداد. یک روز، در حالی که زن باردار در هفته هفتم بود، شوهرش او را به شدت ضربه زد و با دستان سنگینش، گوش زن را زد تا خون بریزد. در حین زدن، شوهر زن الکل نیز خورده بود. [sep] [sep],other,Passive
99,[cls] یک زن توسط شوهرش کتک خورده، از خانه بیرون شده و با چاقو تهدید شده است. او نامه پزشکی قانونی گرفته و در حال تصمیم گیری برای طلاق یا تعهد به زندگی با شوهرش است. او در حال حاضر دو دل است و با حالت دوگانگی مواجه است. [sep] ببخشیدا پس خاک بر سرش اون آدم نمیشه تو ده ماه اول دستش روت بلند شده [sep],empathy,Passive
101,[cls] یک زن به نام بچه خا در خانه‌اش زندگی می‌کند و دوست دارد به خانه مادرش برود. شوهرش با او دعوا می‌کند و او را مورد خشونت قرار می‌دهد. بعد از ۶ ماه، او تصمیم می‌گیرد که طلاق بگیرد، اما شوهرش او را مجبور می‌کند که به خانه بازگردد. [sep] اگر بی دلیل دعوا میفته و یکدفعه اینطوری میشه شاید همسرت اعتیاد داره. [sep],question or answer,Passive
109,[cls] شوهری خشن و تحقیرآمیز، همسرش را مورد سوء استفاده قرار می‌دهد و او را مورد خشونت قرار می‌دهد. همچنین، او به همسرش تهدید می‌کند و او را مورد تحقیر قرار می‌دهد. همسرش در مقابل این رفتارها قهر می‌کند، اما شوهرش همچنان ادامه می‌دهد. [sep] شوهریه ک بی احساسه یا نمیتونه حسشو ابراز کنه یه ادم توی ظاهر سرد و خشک [sep],question or answer,Passive
110,[cls] یک نوجوان ۱۵ ساله درگیر جنگ و دعواهای مکرر بوده است. اخیرا به اتهاماتی مبنی بر ضرب و شتم پدر و مادر خود متهم شده است. او دارای سه فرزند زیر ۱۰ سال است و تصمیم گرفته است آنها را تنها بگذارد و به دنبال راهی برای بزرگ کردن آنها بگردد. [sep] انشالا [sep],question or answer,Passive
116,[cls] دو نفر دعوا کرده‌اند و یکی از آنها گلوی دیگری را فشار داده است. گلوی او درد می‌کند و نمی‌تواند آب دهانش را قورت دهد. او به دنبال کمک است. [sep] بشکنه دستش [sep],empathy,Passive
117,[cls] یک زن جوان ۲۳ ساله، سه سال پیش ازدواج کرده است. شوهرش ابتدا خوب بود، اما بعدا به او خیانت کرد و رفتارش روز به روز بدتر شد. زن هنوز عاشق شوهرش است، اما شب گذشته شوهرش با دوستانش به سواری رفت و به زن نگفت، بحثشان شد و شوهرش زن را شدیدا ضربه زد. [sep] ارزش خودتو بدون، [sep],empathy,Passive
122,[cls] زنی با شوهرش به دلیل تمایل به کار یا تحصیل دعوا می‌کند. شوهر هیچ کاری را پذیرفته و فقط از او می‌خواهد بچه‌هایشان را بزرگ کند. در نهایت، شوهر به زن خشمگین حمله کرده و او تصمیم به جدایی می‌گیرد. [sep] وقتی شوهرتون راضیه از تولدی که گرفتین از خرجی که کردین مادر شوهر هرچی دوس داره بگه مهم نباشه واست الکی حرص نخور عزیزم [sep],empathy,Passive
125,[cls] یک زن در شرایط بحرانی با شوهر قهر کرده و به داداشش زنگ زده تا او را ببرد. در صحبت با داداش، شوهر دوباره خشمگین شده و داداش را هم کتک زده است. خانواده شوهر نیز با زن برای قهری بودنش قهر می‌کنند. [sep] فقط میتونم بگم خدا کمکت کنه الهی دوست عزیزم [sep],empathy,Passive
129,[cls] یک شخص به دختری که او را اذیت می‌کرد گفت که نمی‌خواهد با او باشد. پس از اینکه پدر دختر پیامی را فرستاد، شخص به دختر رفت و با او صحبت کرد. دختر به شخص گفت که نمی‌خواهد با او باشد و شخص بعد از این حرکت دختر، از او خداحافظی کرد. [sep] خدایا این مردا چرا انقدر مریضن بشکنه دستش [sep],empathy,Passive
130,[cls] همسر باردار به او ضربه زده است و به بیمارستان منتقل شده است. رفتار همسر پس از این اتفاق بهتر شده است. عکسی که فرستاده است، برای همسر یا برای شخص دیگری فرستاده شده است. [sep] وای دقیقا اصلا حالا یهو چرا مهربون شده این مرتیکه؟ [sep],question or answer,Passive
135,[cls] یک زن در شرایط بحرانی با شوهر قهر کرده و به داداشش زنگ زده تا او را ببرد. در صحبت با داداش، شوهر دوباره خشمگین شده و داداش را هم کتک زده است. خانواده شوهر نیز با زن برای قهری بودنش قهر می‌کنند. [sep] ازین مرد شوهر درنمیاد [sep],empathy,Passive
136,[cls] بابا به مامان فحش داد، مامان گفت کاش می‌مردم، من نمی‌تونم بهش کمک کنم، دلم برای مامانم می‌سوزه. [sep] عزیزم شما صد سالتونم بشه مادرتون نباید این چیزا رو بگه بهت مخصوصا این قسمت که چیزی بخورم بمیرمنه فقط مادر شما اکثر مامانامون روح و روان ما رو نابود کردن با اینکار و از همینجا معلوم میشه مادر بودن رو خوب بلد نیستن چه بسا خوب همسر بودن رو هم همینطورو البته مردا بدتر از اونا نه پدر بودن رو خوب بلدن نه همسر خوبی بودن ذو [sep],empathy,Passive
137,[cls] زن به دادگاه رفت و شوهرش را به خاطر ضرب و شتم شکایت کرد. وکیلش نیامد و او نامه پزشکی قانونی گرفت. مادر شوهرش هم به دادگاه آمد و با او بحث کرد. [sep] خدا لعنتشون کنه خانواده‌ی شوهر منم از اینا گوه ترن خداکنه برن جایی کع دیگ اصلا نبینمشون با اون شوهر مفنگی لعنتیم همشون به دروغ قسم قران و خدا میخورن اونقدر گوه پرستن خدارو نمیپرستن متنفرم ازشون [sep],empathy,Passive
141,[cls] فردی برای تاپیکی مورد نظرش تلاش کرد. پدر، مادر و برادرش به خانه او آمدند و او را اخراج کردند. عوضیاها خوشحال شدند. [sep] کلانتری گفت برو خدمات قضائی بعد بیا پزشک قانونی برو چی بگم تو شکایت که خوب باشه برام [sep],question or answer,Passive
143,[cls] زنی به دلیل تندروی شوهرش و کتک‌هایی که از او دریافت می‌کند، با خانواده شوهرش دعوا کرده است. شوهرش قول داده بود که دیگر کتک نخورد، اما هنوز هم ادامه می‌دهد. در نهایت، شبی زن به خاطر بی‌احترامی به خانواده شوهرش، توسط آنها از خانه طرد شده است. [sep] آره تو این جور مواقع زنا زودتر خسته میشن و راضی به برگشت میشن،، هم بچه تو خونه دیگرون راحت نیست، بهونه گیری میکنه از اون ورم خود خانم اعصابش خراب از ی طرف دلتنگی برا خونه، ولی مردا از هفت دولت آزادن و تحملشون هم بالاس،، پس زنی ک تحملش کمه از این روش بر ی جورایی با برگشتش هم طرف پرو میشه هم حرمتا بین خانواده میره.. [sep],empathy,Passive
146,[cls] یک زن به دلیل خانواده‌اش با یک مرد ازدواج کرد، اما او بیکار است و شوهرش هم کمکی نمی‌کند. او به دلیل فقر و خجالت از دعوت کردن مهمان به خانه خود خجالت می‌کشد. او به دلیل فشارهای زیاد، به فکر خودکشی است. [sep] الهی بمیرم برات. دستش بشکنه مرتیکه بی لیاقت عوضی [sep],empathy,Passive
147,[cls] زنی که شوهرش نفقه نمی‌دهد و خیانت می‌کند، با فحش و کتک او را مورد آزار و اذیت قرار می‌دهد. مادر زن نیز برای تامین هزینه‌های خانواده بیشتر از قبل کار می‌کند. زن به دادگاه مراجعه کرده و از وضعیت ناامن خود و فرزندانش شکایت کرده است. [sep] خدا لعنت کنه مادارای اینجوریو مادر منم خیلی ظالمه دم و دقه خواستگار ندارم هی بم میگه شوهر کن من ندارم نونتو بدم [sep],empathy,Passive
150,[cls] یک زن با شوهرش دعوا کرد و شوهرش به گوش زن ضربه زد و گوش زن خونریزی کرد. زن درد زیادی داشت و شوهرش ادعا کرد که چیزی نشده است. زن ناتوان بود که با شوهرش بحث کند و از او ناراحت بود. [sep] منوباش فک کردم خوبین باهم تاپیک سه سال پیشودیدم پرسیدم خوبید الان …حالا تاپیک الانتو دیدم پشیمون شدم پرسیدم …تو تاپیکا سرچ میکردم تاپیک تورو باز کردم اتفاقی …ای داد [sep],question or answer,Passive
152,[cls] زنی که از شوهرش مورد خشونت قرار گرفته، تنها و بی کس است و به خانواده‌اش نمی‌تواند اعتماد کند. او به دنبال جدایی از شوهرش است اما خانواده‌اش سخت گیر هستند و این موضوع برای او مشکل ساز است. او به دنبال راهی برای فرار از این وضعیت است. [sep] منم [sep],question or answer,Passive
153,[cls] یک دعوای شدید بین زوجی رخ داده است و در نتیجه شوهر به همسرش آسیبی وارد کرده است. همسر دچار درد شده و نمی‌تواند حرکت کند. او به پدرش تماس می‌گیرد تا او را بردارد. [sep] عزیزم مچت طوری نشده فقط یه ضرب دیدگیه،، ولی خداییش من نمیفهمم چرا مرد میزنه [sep],empathy,Passive
154,[cls] درگیری شدید بین زن و شوهر در حضور مادر زن رخ داد. زن به شدت توسط شوهرش ضربه خورد و او رفت. مادر زن نمی‌خواهد شوهر به خانه بازگردد و نیاز به راهنمایی دارد. [sep] تو اینجور تاپیکا هیکشی نمیاد بگه شوهر حق نداره دس رو زن بلند کنه یا برعکس، اما ملت دست به سینه وایسادن تا بیان بگن غرور شوهرتو شکستی به خاطر همونه!!! [sep],question or answer,Passive
156,[cls] یک زن در شرایط بحرانی با شوهر قهر کرده و به داداشش زنگ زده تا او را ببرد. در صحبت با داداش، شوهر دوباره خشمگین شده و داداش را هم کتک زده است. خانواده شوهر نیز با زن برای قهری بودنش قهر می‌کنند. [sep] وا خودش زنگ زده به داداشت بعد میگه تو باید جلو دخالتشونو بگیریمن حاظرم شوهرم سرم عربده بکشه ولی قهر نکنه [sep],question or answer,Passive
158,[cls] دو عاشق نی نی سایت دعوا کردند. همسر یکی او را زده و بازویش درد می‌کند. او نمی‌تواند بازویش را تکان دهد و نیاز به کمک دارد. [sep] کیسه اب گرم بذا [sep],empathy,Passive
161,[cls] همسرم به من کتک زد و خانواده شوهرم دخالت بیش از حد کردند. من تقاضای تمکین کردم تا دردسر نباشد، اما فردا با واسطه پدرم نزاشتند برم و گوشیم را شکستند. [sep] عزیزم من گفتم اگه ناشزه بشی ینی دادگاه ثابت کنه نفقه بهت نمیده و حق ازدواج مجدد داره. مهریه حق زنه. اما اکثر آقایون ک خانومشون ناشزه میشه اذیت میکنن طلاق نمیدن تا زن مهرشو ببخشه یا زجر بدن [sep],question or answer,Passive
172,[cls] یک زن به دلیل ضرب و شتم همسرش به ۵ سال حبس و ترک نفقه محکوم شده است. دادگاه تجدید نظر هنوز حکم نداده و اموال او توقیف شده است. قاضی پیشنهاد داد که درخواست طلاق بدهد و اگر شهرستان تایید کند، تحدید نظر ممکن است رد شود. [sep] چه حرفاوکیلت چی میگه؟ من خودم نمیرم اصلا. وکیلم میره. نمیخوام ریختشوببینم وحرفای چرتشوبشنوم. [sep],question or answer,Passive
177,[cls] فردی که اسنپ گرفته بود، توسط راننده او بی‌احترامی شد و تعدادی از همسایه‌ها هم به او ضربه زدند. این فرد به دلیل بیکاری و بی‌غیرتی، او را از کار و خانه دور کرده بود. او همچنین پرونده کیفری در برابر این فرد داشت. [sep] خدا از مردی ک روی زن دست بلند میکنه هرگز نگذره [sep],empathy,Passive
