,x,y,PassiveActive
17,[cls] زنی پس از یکسال آبرو داری و حرف نزدن، بعد از یک دعوای اساسی با شوهرش، تصمیم گرفت از خانه برود. او در طول سال بعد از آن، هیچ گاه گله نکرد و حتی پیش مادر شوهرش هم هیچ مشکلی نداشت. [sep] اونبکه دست برن داره اصلاح نمیشه تا رد کتکاش رو لدنت هست برو پزشک قانونی طول درمان بگیر و شکایت کن ازش جداشو چون فردا که مادر شدی باید شاهد کتک خوردن بچت هم باشی اون موقعه میتوتی تحمل کنی دلت آتیش میگیره بهتره همین الان خودتو نجات بدی. [sep],confront and retaliate,Active
18,[cls] شوهر کتک زده، بدن کبود. جدایی می‌خواهد. وکیل نمی‌تواند بگیرد. [sep] عزیزم اگ واقعا قصدت طلاقه سریعا برو دادگاه نامه بگیر برای پزشک قانونی وقتی اثرش بره دیگ راهی نداری [sep],confront and retaliate,Active
19,[cls] زنی که انگشتش دراومده بود، بچه‌اش را دو روز در خانه نگه داشت و سپس پسرش را فرستاد تا دخترش را بیاورد. او ابتدا این کار را نکرد، اما بعد از یک تماس تلفنی، پسرش با دخترش آمد و بچه را برداشت. در شب، زوجین دعوا کردند و مادر شوهر نیز آمد و پیشنهاد کرد که بچه را به خانه بهزیستی ببرند. [sep] ان شالله که مشکلت ب بهترین وجه حل بشه و زندکیت طعم عشق بگیره [sep],empathy,Passive
20,[cls] در یک دعوای ناگهانی، دو نفر به هم می‌زنند و تهدید می‌کنند. یکی از آنها عقد نامه را پاره می‌کند و دیگری او را مورد ضرب و شتم قرار می‌دهد. در نهایت، این دو نفر به تصمیم جدایی می‌رسند. [sep] فداتاین کاری ک تو میکنی دور باطله ببخشید نمیخوام دلسردت کنم اما ادمی ک خودشو ب خواب زده نمیشه با این کارا بیدار کرد …. فقط خودت خسته و افسرده میشی …حالا ک میخوای بمونی …مشاور برو کمکت کنه صبورتر بشی و کمتر اهمیت بدی بهش [sep],confront and retaliate,Active
21,[cls] شوهر زن به دلیل چیزهای الکی او را توهین کرد و کتکش زد. زن قرص‌های قند و فشار را برای خودش خورد و شماره پلیس را گرفت. او وسایلش را جمع کرد و خانه را ترک کرد. [sep] خاک تو سر همچین شوهرای عوضی لعنتی بیشور حیوان نفهم [sep],empathy,Passive
22,[cls] یک زن دو ماهه که سزارین کرده، به دلیل شکنجه و خشونت همسرش، نیاز به کمک دارد. او می‌خواهد بداند چگونه می‌تواند از این وضعیت خارج شود. او نمی‌تواند به خانواده‌اش اعتراف کند و به دنبال راهی برای حل مشکل است. [sep] برو پزشکی قانونی تا جای ناخن خوب نشده‌ی پرونده تشکیل بده [sep],confront and retaliate,Active
23,[cls] پدر بابام به شوهرم گفت طلاق بده دخترمو. مهمانان شمالی با عروسشون به خونه شوهرمون اومدن. رابطه خوبی با عروس مهمون داشتم و با اون درباره مشکلاتم حرف زدم. [sep] خیلی سخته امیدوارم خداوند گره زندگیت رو باز کنه [sep],empathy,Passive
24,[cls] شوهر در دعوا صورت همسرش را ضربه می‌زند و او را به زمین می‌اندازد. همچنین قبلا دست همسرش را کبود کرده بود و اینبار با مشت به صورتش حمله کرده است. همسر به او اخطار داده که اگر دوباره این کار را تکرار کند، او را ترک خواهد کرد. [sep] چقدر سخته غریبی حتی نمیتونی با خانوادت دردودل کنی چون بجز غصه خوردن نمیشه کاری کنن [sep],empathy,Passive
25,[cls] یک زوج دعوا کردند و هر دوی آنها به یکدیگر زدند. زن برای آشتی کردن با شوهرش تلاش کرد اما شوهرش قهر کرده بود. شوهر زن او را در خیابان رها کرد و به خانه پدرش برگشت. [sep] ببین همیشه سعی کنید وسط مشکلاتتون پای اعضای خانواده همدیگه رو وسط نکشید چون قضیه داغتر میشه اگه بهت کمک نکرد عیب نداشت تو خودت کارتو انجام بده مردها موقع ناراحتی یا اعصاب خوردی اگه بهشون بگی فلان کارو بکن از صدتا فحش هم بدتره براشون.. سکوت و آرامش بهترین راهه چون کل عصبانیت مردها نیم ساعت هم طول نمیکشه [sep],conform and adjust,Active
26,[cls] بچه‌ها به من کتک زدند، سرم درد می‌کند. من به خانواده‌ی او تبریک عید گفتم، اما او به من فحش داد و کتکم زد. من به طلاق فکر می‌کنم. [sep] من ک سپردم ب خدا انشالله همینجور ک من زده چوب خدا بخوره [sep],empathy,Passive
27,[cls] در یک بحث الکی، شوهر فحش و حتی ضربه به همسرش زد. آنها در طبقه بالای خانه مادرشوهرشان زندگی می‌کنند و اگر مادرشوهرشان نبود، شوهرش او را می‌کشت. همسر داد زد و شوهرش او را ضربه زد. او نمی‌داند چگونه با شوهرش رفتار کند و احساس ناراحتی می‌کند. [sep] اخه با اینکار شوهرش درست میشه؟؟ باید جدی با این اقا برخورد بشه [sep],question or answer,Passive
28,[cls] در یک دعوای خانوادگی، زن به شوهر خود گفت که متنفر است از خاهر شوهرش. شوهر زن به او حمله کرد و او برای پناه بردن به خانه مادربزرگش رفت. امروز آنها تصمیم گرفتند جدا شوند. [sep] خوب چرا خاطرات مادرشو زدی تو سرش [sep],conform and adjust,Active
29,[cls] صبح خوش و خرم بیدار شدیم، شوهرم با بچه‌ها شوخی کرد و من رو نیشکونید. او بعد از من اذیت شد و من داد زدم، سپس او شروع به زدن من کرد. [sep] باغ وحشه [sep],question or answer,Passive
30,[cls] دعوای خانوادگی با شوهر و پدرسوختگی، لگد زدن و معزرت خواهی، بچه‌ها با مادرشان در حال تصمیم گیری برای رفتن به خانه مادربزرگشان هستند. [sep] خوب نیست من که حاضرم کم حرف باشه [sep],empathy,Passive
31,[cls] دختر دوشش را گرفت و پایین آمد و گریه کرد. پدر به شوهرش گفت که پام درد می‌کند، اما شوهر این را تکذیب کرد. دختر همچنان گریه می‌کرد و پدر ظرف شکسته و کتک خورد. [sep] پس بخاطر دخترت تو کوتاه بیا تا اون اسیب نبینه [sep],conform and adjust,Active
32,[cls] شوهر کتک زده، پاها و دست زخمی. [sep] برو پزشک قانونی سریع یه مدرک دستت باشه بعدا لازمت میشه هااااا [sep],confront and retaliate,Active
33,[cls] یک زن با شوهرش دعوا کرده و شوهرش سه بار به سر او مشت زده است. چشم زن ورم کرده و درد دارد. زن نمی‌خواست به خانه پدرش برود و هیچ کس او را باور نمی‌کند. [sep] پس بشین سر زندگیت کتاهم نوش جونتناراحت نشیاولی خلایق هر چه لایق [sep],confront and retaliate,Active
34,[cls] دو نفر در یک بحث هستند، یکی از آنها دیگری را زده و او را از خانه پرت کرده است. بعدا، آنها دوباره با هم ملاقات کرده و یکی از آنها خواسته کلید خانه را بیاورد. سپس آنها با هم شوخی کرده و در نهایت دوباره با هم دعوا کرده‌اند. [sep] هر انسانی تا یه اندازه صبر دارهتا صبرش تموم نشده این رفتارتو ترک کن [sep],conform and adjust,Active
35,[cls] یک زوج دعوا کردند، زن برای دیدن خانواده‌اش رفت و شوهرش نخواست با او بیاید، زوج به هم فحش دادند و در نهایت زن تنها به سر خاک رفت. [sep] وا شوهرت اجازه نداده بری خونه پدر بزرگت دعوا راه انداختی چرا؟ میگفتی چشم با یه چشم این همه اعصاب خوردی درست نمیشد مخصوصا که حامله‌ای بزنه تو سرت والا مادر بزرگ مرحومتم راضی به این نبوده که به خاطر سر خاک رفتن شما دعواتون بشه از دور فاتحه بفرست مقصر شمایی به قول مادرم خونه شوهر خونه خداست بدون اجازش حرامه کاری کنی [sep],conform and adjust,Active
36,[cls] یک زن به دلیل نارضایتی بچه‌اش از خانواده شوهرش، توسط شوهر و مادر شوهرش مورد ضرب و شتم قرار گرفت. بچه‌اش دچار درد و زخم‌هایی شد. زن نمی‌داند چه کاری باید بکند. [sep] طفلی بچه [sep],empathy,Passive
37,[cls] شوهر وحشیانه با همسرش رفتار می‌کند، او صورت همسرش را گاز می‌گیرد و به او درد می‌رساند. همچنین، موهای همسرش را می‌کشاند و دماغش را فشار می‌دهد. همسرش از رفتار شوهرش ناراحت است و نمی‌داند چگونه این رفتار را ترک کند. [sep] همسر منم اینجوری بود شبا از درد کوفتگی بازوام خوابم نمیبرد دیگه حساسیت نشون ندادم یکی دو بار تکرار کرد دید عصبانی نمیشم ول کرد [sep],conform and adjust,Active
38,[cls] شوهرم دیشب با من جدال کرد و من از او ناراحت شدم. خانه هم بهم ریخت و من از این وضعیت ناراحتم. شوهرم کمکی در کارهای خانه نمی‌کند و تنها در حال تماشای تلویزیون است. [sep] شوهر من از صبح تا غروب سرکاررفتارش با من خیلی سرد و بی مهراز در میاد تو خسته و کوفته‌، جواب سلام میده اکثر اوقات بعد لباس عوض میکنه ولو میشه رو مبل چایی و شام میخورهبعد سر تو گوشی و تلویزیون چند تا غر میزنه و شاکی از همه کسروی زمین میخوابههر وقتم بیش‌تر از دو کلمه حرف بزنم میگه خفه شو [sep],question or answer,Passive
39,[cls] در یک دعوای خانوادگی، شوهر زن به او حمله کرد و آینه را شکست. مادر شوهر نیز به خانه آمد و به زن زخمی توهین کرد. زن تصمیم گرفت شکایت کند تا مدرکی برای خود داشته باشد. [sep] ازش مدرک داشته باش، حتمااا برو شکایت کن ازش بدرد زندگی کردن نمیخوره [sep],confront and retaliate,Active
40,[cls] زنی با شوهرش به دلیل تمایل به کار یا تحصیل دعوا می‌کند. شوهر هیچ کاری را پذیرفته و فقط از او می‌خواهد بچه‌هایشان را بزرگ کند. در نهایت، شوهر به زن خشمگین حمله کرده و او تصمیم به جدایی می‌گیرد. [sep] اجازه شو میگرفت بدون رضایت نمیتونست بره سرکار که (از نظر قانونی میتونه بره) ولی زندگیش زهرمارش میشد وقتی شوهرش راضی نیس و دوس نداره زنش کار کنه موقع عقد هم میگه شوهرش گفته که دوس نداره ایشون کار کنه اینم قبول کرده دیگه اون آقا کلا زنی رو میخواسته که شاغل نباشه و قبل ازدواجم اعلام کرده بنظرم باید روابطشو با شوهرش صمیمانه‌تر کنه تا از یه راهی بتونه زندگیشو درست کنه [sep],conform and adjust,Active
41,[cls] یک زن دوساله ازدواج کرده و شوهر عصبی او با کارهایش روانی او را آزار می‌دهد. آنها یک دختر یک ساله دارند که شاهد کتک خوردن مادرش است. در یک دعوای بد، شوهر زن او را می‌زند و تشنج می‌گیرد و دخترش با گریه از خواب بیدار می‌شود. زن دلش گرفته و به دعا کردن نیاز دارد. [sep] برو پزشک قانونی و شکایت کن نمیگم جدا شو فقط بترسونش …جاریه من همین کارو کرد شوهرش دیگه نمیزندش [sep],confront and retaliate,Active
42,[cls] یک زن و مرد بیرون رفتند و رانندگی کردند. مرد خوبی بود اما کمی کم حوصله بود. زن بار سوم یا چهارم رانندگی کرد و اشتباه کرد. مرد به شوخی گفت که اگر اشتباه کنی، باز هم می‌زنمت. زن دوباره اشتباه کرد و مرد به شدت داد زد و دهن زن کرخت شد. [sep] وای یا خدا. [sep],empathy,Passive
43,[cls] زنی که از شوهر خود مورد خشونت قرار گرفته بود، چند بار به شدت توسط او ضربه خورده بود. ۲/۳ سال پیش در یک دعوای بد، شوهر او او را شکست داده و به شدت ضربه زده بود. از آن زمان به بعد، او احساس می‌کرد که لبش کج می‌شود و دست و لبش می‌لرزید. [sep] لابد بچه دعوای شمارو دیده برده ارومش کنه [sep],empathy,Passive
44,[cls] شوهر دروغ می‌گوید که همسرش را کتک نزده و طلبکار است. همسر می‌گوید که شوهرش به دنبال دزدی و آبروزدایی است. آبروی همسر نیز در معرض تهدید است. [sep] منم از قسم دروغ خیلی میترسم عزیزم خدا بزرگه زمینم گرده میچرخه … [sep],empathy,Passive
45,[cls] همسرم من را زیر بار کتک گرفت و سرم گیج شده و بدنم کبود شده است. او این را قبول نمی‌کند و می‌گوید فقط سرم را زده است. [sep] برو پزشک قانونی نامه بگیر محض احتیاط [sep],confront and retaliate,Active
46,[cls] شوهر ناراحتی به همسرش وارد کرده و از برادرش خواسته که او را به خانه برود. داداش نیز او را تشویق به ادامه زندگی با شوهرش می‌کند. اما همسر تصمیم به درخواست طلاق گرفته است. [sep] زنگ زده به داداشت که بیا خواهرتو ببر. بعد بهت میگه نرو؟ [sep],question or answer,Passive
47,[cls] زنی که شوهرش او را ضربه زده بود، به خانواده‌اش شکایت کرد. این اتفاق قبلا هم رخ داده بود و خانواده‌اش ناراحت بودند. زن ناراحت است و نمی‌داند چه کاری باید بکند. [sep] دیگه بااااهاش نرو توی جمع [sep],conform and adjust,Active
48,[cls] فردی پس از دو هفته و نیم از شهر غریب بازگشت و سپس با مادرش به خانه خاله‌اش رفت. خاله‌اش اصرار کرد که شام بمانند، اما شوهر فرد او را تنها گذاشت. صبح روز بعد، در یک صحبت مودبانه، فرد عصبانی شد و با مشت به خودش زد. [sep] ای بابا دلیلش رو بپرس ازش رک و پوست کنده بهت بگه اینطوری که نمیشه [sep],question or answer,Passive
49,[cls] زنی که از تنهایی خسته شده بود، شوهر بداخلاقش او را مورد سوء استفاده قرار داد و او را زخمی کرد. او برای تزریق آمپول آی وی اف فردا باید بیمارستان را برود. اما شوهرش او را تنها گذاشت و هیچ کسی در شهر غریبی که زندگی می‌کرد به او کمک نمی‌کرد. [sep] شرایطتت خوب نیست حق داری ولی بچه اوردن مشکلت حل نمیکنه دو چندان هم میشه. اصلا با این محیط تنش و استرس ای وی اف هم کنی نمیگیره [sep],question or answer,Passive
50,[cls] یک زن صبح با شروع کارهای خانگی خودش مشغول شد. شوهرش بعدازظهر او را به خانه پدرشان برد، اما آنجا خانه نبود. زن بعد از بازگشت به خانه، با مشکلات دیگری مواجه شد، از جمله شکستن گلدان و دعوا با فرزندش. [sep] وا گیجه ببرش تیمارستان [sep],empathy,Passive
51,"[cls] a woman is upset because her husband received a message from another girl. she had a fight with her husband and his family, and was physically abused. she considered suicide but decided against it because of her mother's illness and her own pregnancy. she tried to leave the house but her husband stopped her. [sep] لعنت به مردای هرزه هرچقدرم خودمونو گول بزنیم چیزی عوض نمیشه تا همسرت نخواد اون زن نمبتونه کاری کنه متاسفانه باید مشکلتو با همسرت حل کنی وگرنه اگه بخواد ادامه بده این نباشه یکی دیگه پیدامیکنه [sep]",empathy,Passive
52,[cls] زنی به دلیل آزار و اذیت از شوهرش فرار کرده و به خانه پدرش رفته است. او به دلیل قفل شدن در، پلیس را صدا کرده و شکایت نامه تنظیم کرده است. همچنین طلاهایی که به عنوان هدیه عقد به او داده شده بود، به همراه خریداری‌های خودش نیز برداشته شده است. [sep] خب اگه بیاد چطوری میبخشی با تهمت باکره نبودنی که بهت زده [sep],question or answer,Passive
53,[cls] مهمونی دادی، من غذا خوردم و حالم بد شد. بهش گفتم بس کن، اما ادامه داد و به فوش ناموسی رسید. مادرم و پدر مرحومم هم درگیر شدند و من کتک خوردم. [sep] تاپیکاتو خوندم چقد احمقع شوهرت قدر همچین زنیو نمیدونه بی لیاقته واقعا [sep],empathy,Passive
54,[cls] شوهر وحشیانه با همسرش رفتار می‌کند، او صورت همسرش را گاز می‌گیرد و به او درد می‌رساند. همچنین، موهای همسرش را می‌کشاند و دماغش را فشار می‌دهد. همسرش از رفتار شوهرش ناراحت است و نمی‌داند چگونه این رفتار را ترک کند. [sep] یه بار فققققط یه بار شوهرم به شوخی موهامو کشید قاطیشون کرد انقدرررر گریه کردم دو ساعت گریه کردم رفتم جلو چشمش شونه اوردم شونه کردم با هزار بدبختی از هم بازشون کردم اشکامم داشت همینطوری میومدانقدر گفت ببخشید الان دیگه میدونه من چقدر شر هستم زودم دردم میگیره از این شوخیای دردناک نمیکنه [sep],question or answer,Passive
55,"[cls] دعوای شدید با همسر. ,استفاده از خشونت جسمی. ,صدمات در ران همسر. [sep] برو پزشکی قانونی ازش شکایت کن [sep]",confront and retaliate,Active
56,[cls] فردی با بدخلقی و ناشناسی درگیر شد، در جریان صحبت با او، لیوان چای ریخته شد و در نهایت لیوان دیوار شکست. فرد تصمیم گرفت با پدرش درباره رفتار این فرد صحبت کند. [sep] چ دیوانه [sep],empathy,Passive
57,[cls] یک زن باردار به دلیل خشونت شوهرش از خانه بیرون شده است. او در حال حاضر با مشکلات بارداری مواجه است و به دنبال کمک است. اما احساس می‌کند کسی به او گوش نمی‌دهد. [sep] زنگ بزن به خانوادت بگو بیان نجاتت بدن ممکنه بار بعد مرتیکه روانی گلوت رو کامل ببره برو پزشک قانونی شکایت کن طلاق بگیر هرجوری هست [sep],confront and retaliate,Active
58,[cls] یک زن به دلیل توهم شوهرش به او زور زده و بعد از چند سال دوباره شوهرش به دلیل لجبازی دخترش به او حمله کرده و بحثی بین آنها شکل گرفت. [sep] چرا خونه پدر شوهرت؟ ‌ خونه پدر خودت برو [sep],confront and retaliate,Active
59,[cls] مشکلات بین زوج جدا از داداش شوهر بود، اما داداش اشتباها درگیر شد. شوهر به داداش گفت که او را مسخره نمی‌کند، اما همسرش به او گفت که بیشتر باید محافظت کند. در نهایت، همسر به اتاق رفت و در رو قفل کرد. [sep] من خود شوهرم یباراینو فهمید. روزگارم سیاه کردحالا پیام از اون نوع پیام خیانت و اینا نبودب ی روانشناس پیام داده بودم واسه مشکلات م [sep],question or answer,Passive
60,[cls] یک زن به دلیل تجاوز شوهرش شکایت می‌کند، اما نمی‌خواهد طلاق بگیرد. او فقط می‌خواهد شوهرش تعهد کند دیگر دست به خشونت نزند. او از دیگران می‌خواهد که تجربه‌های خود را با او به اشتراک بگذارند. [sep] میفهمم چی میگی اما میدونی این وحشیا چرا همکار و پلیس و همسایه رو کتک نمیزنن چون میدونن پدرشون رو درمیارن اما زورشون به زن بی پشتوانه خودشون میرسه بزنن دماغشو بشکونن حال ادمو بهم میزنن با این خودزرنگ پنداری و قلدری [sep],empathy,Passive
61,[cls] زن و شوهر دعوا کردند، زن پلیس را صدا زد، شوهر در اتاق قفل شد و وسایل زن را بهم ریخت. پلیس نامه و صورت جلسه داد و زن می‌تواند به پزشکی قانونی برود. [sep] برو پزشک قانونی تا یادبگیره دیگه دست رو زن بلند نکنه [sep],confront and retaliate,Active
62,[cls] شوهر بداخلاق و بحث‌گر است، خانواده را زجر می‌دهد و به همسرش بدمی‌گوید. همسر نمی‌داند چگونه با او برخورد کند و از وضعیت ناراحت است. شوهر همسرش را تحت فشار قرار داده و به او خشونت می‌آورد. [sep] عجب عوضیه ببخشید. طفلی مامان بابات پس مظلومن انگاروای جلو بچت [sep],empathy,Passive
63,[cls] پدر بابام به شوهرم گفت طلاق بده دخترمو. مهمانان شمالی با عروسشون به خونه شوهرمون اومدن. رابطه خوبی با عروس مهمون داشتم و با اون درباره مشکلاتم حرف زدم. [sep] سلام عزیزم من راستش وارد نیستم اما بنظرم اول از همه خودت بشین فکر کن و اگه میتونی از یه مشاور کمک بگیر از یه مشاور مومن و منطقی و اینکاره بعدم ببین میتونی ببریش مشاور بهش بگو برای اینکه زندگیمون از بحران دربیاد لازمه یه آدم بی‌طرفی باشه تا هم مشکل هایی که من دارم بگه هم مشکلاتی که تو داری تا درست بشه زندگیمون بنظرم نذاری ماجرا سمت لج و لجبازی بره [sep],confront and retaliate,Active
64,[cls] همسرم چند بار من را زده و گلوم را گرفته است. او با دستش به من حمله می‌کند و من درد می‌کشم. آیا می‌توانم به پزشکی قانونی بروم؟ [sep] گفتم بذار خانوادهات برن جلو ولی چقدر دلم برای هم جنسای خودم میسوزه [sep],question or answer,Passive
65,[cls] در یک دعوای ناگهانی، دو نفر به هم می‌زنند و تهدید می‌کنند. یکی از آنها عقد نامه را پاره می‌کند و دیگری او را مورد ضرب و شتم قرار می‌دهد. در نهایت، این دو نفر به تصمیم جدایی می‌رسند. [sep] دوتاتون مقصرید بعضی جاها برای اینکه بدتر نشه باید سکوت کرد بعدا تو آرامش گفت [sep],conform and adjust,Active
66,[cls] یاد کتک‌هایی که خورده بودم می‌افتادم و حالم بد می‌شد. امشب هم خاطرات تلخ آن روز به ذهنم می‌رسید. یکبار کمرم به شدت به گوشه میز خورد و یکبار هم سرم به اپن. [sep] خطت و عوض کن [sep],question or answer,Passive
67,[cls] آقایی برای خواستگاری آمد، اما معتاد بود و دیروز به دلیل مشکلاتی که پیش آمده بود، به دختر کتک زد. دختر می‌خواهد از او شکایت کند و به پزشک قانونی برود. [sep] دختر همین فردا برو پزشکی قانونی تا دیر نشده [sep],confront and retaliate,Active
68,[cls] یک زوج جوان درگیر مشکلات خانگی هستند، همسرشان از غذایی که همسرش درست می‌کند نمی‌خورد و از او دوری می‌کند. همچنین، همسرش با وسایل خانگی و صدای بلندی که می‌کند، او را ناراحت می‌کند. در نهایت، همسرش بدون اطلاع دادن به او، شام خودش را جداگانه می‌خورد و این باعث ناراحتی و افسردگی همسرش می‌شود. [sep] السان جرمه صغیر و جرمه کبیرزبان به دهان بگیر همه بدبختی‌ها زی سر زبان رها شده استفکر کردی من از همسرم آتو ندارم خیلی هم دارم اما به روش نمیارمچیزی که بخاطر بیان ۴تا مساله مسخره از دست میره خیلی بیشتر از لذت گفتن اون نقطه ضعفها و آتو هاست [sep],conform and adjust,Active
