,x,y,PassiveActive
17,[cls] زنی پس از یکسال آبرو داری و حرف نزدن، بعد از یک دعوای اساسی با شوهرش، تصمیم گرفت از خانه برود. او در طول سال بعد از آن، هیچ گاه گله نکرد و حتی پیش مادر شوهرش هم هیچ مشکلی نداشت. [sep] اونبکه دست برن داره اصلاح نمیشه تا رد کتکاش رو لدنت هست برو پزشک قانونی طول درمان بگیر و شکایت کن ازش جداشو چون فردا که مادر شدی باید شاهد کتک خوردن بچت هم باشی اون موقعه میتوتی تحمل کنی دلت آتیش میگیره بهتره همین الان خودتو نجات بدی. [sep],confront and retaliate,Active
18,[cls] شوهر کتک زده، بدن کبود. جدایی می‌خواهد. وکیل نمی‌تواند بگیرد. [sep] عزیزم اگ واقعا قصدت طلاقه سریعا برو دادگاه نامه بگیر برای پزشک قانونی وقتی اثرش بره دیگ راهی نداری [sep],confront and retaliate,Active
20,[cls] در یک دعوای ناگهانی، دو نفر به هم می‌زنند و تهدید می‌کنند. یکی از آنها عقد نامه را پاره می‌کند و دیگری او را مورد ضرب و شتم قرار می‌دهد. در نهایت، این دو نفر به تصمیم جدایی می‌رسند. [sep] فداتاین کاری ک تو میکنی دور باطله ببخشید نمیخوام دلسردت کنم اما ادمی ک خودشو ب خواب زده نمیشه با این کارا بیدار کرد …. فقط خودت خسته و افسرده میشی …حالا ک میخوای بمونی …مشاور برو کمکت کنه صبورتر بشی و کمتر اهمیت بدی بهش [sep],confront and retaliate,Active
22,[cls] یک زن دو ماهه که سزارین کرده، به دلیل شکنجه و خشونت همسرش، نیاز به کمک دارد. او می‌خواهد بداند چگونه می‌تواند از این وضعیت خارج شود. او نمی‌تواند به خانواده‌اش اعتراف کند و به دنبال راهی برای حل مشکل است. [sep] برو پزشکی قانونی تا جای ناخن خوب نشده‌ی پرونده تشکیل بده [sep],confront and retaliate,Active
25,[cls] یک زوج دعوا کردند و هر دوی آنها به یکدیگر زدند. زن برای آشتی کردن با شوهرش تلاش کرد اما شوهرش قهر کرده بود. شوهر زن او را در خیابان رها کرد و به خانه پدرش برگشت. [sep] ببین همیشه سعی کنید وسط مشکلاتتون پای اعضای خانواده همدیگه رو وسط نکشید چون قضیه داغتر میشه اگه بهت کمک نکرد عیب نداشت تو خودت کارتو انجام بده مردها موقع ناراحتی یا اعصاب خوردی اگه بهشون بگی فلان کارو بکن از صدتا فحش هم بدتره براشون.. سکوت و آرامش بهترین راهه چون کل عصبانیت مردها نیم ساعت هم طول نمیکشه [sep],conform and adjust,Active
28,[cls] در یک دعوای خانوادگی، زن به شوهر خود گفت که متنفر است از خاهر شوهرش. شوهر زن به او حمله کرد و او برای پناه بردن به خانه مادربزرگش رفت. امروز آنها تصمیم گرفتند جدا شوند. [sep] خوب چرا خاطرات مادرشو زدی تو سرش [sep],conform and adjust,Active
31,[cls] دختر دوشش را گرفت و پایین آمد و گریه کرد. پدر به شوهرش گفت که پام درد می‌کند، اما شوهر این را تکذیب کرد. دختر همچنان گریه می‌کرد و پدر ظرف شکسته و کتک خورد. [sep] پس بخاطر دخترت تو کوتاه بیا تا اون اسیب نبینه [sep],conform and adjust,Active
32,[cls] شوهر کتک زده، پاها و دست زخمی. [sep] برو پزشک قانونی سریع یه مدرک دستت باشه بعدا لازمت میشه هااااا [sep],confront and retaliate,Active
33,[cls] یک زن با شوهرش دعوا کرده و شوهرش سه بار به سر او مشت زده است. چشم زن ورم کرده و درد دارد. زن نمی‌خواست به خانه پدرش برود و هیچ کس او را باور نمی‌کند. [sep] پس بشین سر زندگیت کتاهم نوش جونتناراحت نشیاولی خلایق هر چه لایق [sep],confront and retaliate,Active
34,[cls] دو نفر در یک بحث هستند، یکی از آنها دیگری را زده و او را از خانه پرت کرده است. بعدا، آنها دوباره با هم ملاقات کرده و یکی از آنها خواسته کلید خانه را بیاورد. سپس آنها با هم شوخی کرده و در نهایت دوباره با هم دعوا کرده‌اند. [sep] هر انسانی تا یه اندازه صبر دارهتا صبرش تموم نشده این رفتارتو ترک کن [sep],conform and adjust,Active
35,[cls] یک زوج دعوا کردند، زن برای دیدن خانواده‌اش رفت و شوهرش نخواست با او بیاید، زوج به هم فحش دادند و در نهایت زن تنها به سر خاک رفت. [sep] وا شوهرت اجازه نداده بری خونه پدر بزرگت دعوا راه انداختی چرا؟ میگفتی چشم با یه چشم این همه اعصاب خوردی درست نمیشد مخصوصا که حامله‌ای بزنه تو سرت والا مادر بزرگ مرحومتم راضی به این نبوده که به خاطر سر خاک رفتن شما دعواتون بشه از دور فاتحه بفرست مقصر شمایی به قول مادرم خونه شوهر خونه خداست بدون اجازش حرامه کاری کنی [sep],conform and adjust,Active
37,[cls] شوهر وحشیانه با همسرش رفتار می‌کند، او صورت همسرش را گاز می‌گیرد و به او درد می‌رساند. همچنین، موهای همسرش را می‌کشاند و دماغش را فشار می‌دهد. همسرش از رفتار شوهرش ناراحت است و نمی‌داند چگونه این رفتار را ترک کند. [sep] همسر منم اینجوری بود شبا از درد کوفتگی بازوام خوابم نمیبرد دیگه حساسیت نشون ندادم یکی دو بار تکرار کرد دید عصبانی نمیشم ول کرد [sep],conform and adjust,Active
39,[cls] در یک دعوای خانوادگی، شوهر زن به او حمله کرد و آینه را شکست. مادر شوهر نیز به خانه آمد و به زن زخمی توهین کرد. زن تصمیم گرفت شکایت کند تا مدرکی برای خود داشته باشد. [sep] ازش مدرک داشته باش، حتمااا برو شکایت کن ازش بدرد زندگی کردن نمیخوره [sep],confront and retaliate,Active
40,[cls] زنی با شوهرش به دلیل تمایل به کار یا تحصیل دعوا می‌کند. شوهر هیچ کاری را پذیرفته و فقط از او می‌خواهد بچه‌هایشان را بزرگ کند. در نهایت، شوهر به زن خشمگین حمله کرده و او تصمیم به جدایی می‌گیرد. [sep] اجازه شو میگرفت بدون رضایت نمیتونست بره سرکار که (از نظر قانونی میتونه بره) ولی زندگیش زهرمارش میشد وقتی شوهرش راضی نیس و دوس نداره زنش کار کنه موقع عقد هم میگه شوهرش گفته که دوس نداره ایشون کار کنه اینم قبول کرده دیگه اون آقا کلا زنی رو میخواسته که شاغل نباشه و قبل ازدواجم اعلام کرده بنظرم باید روابطشو با شوهرش صمیمانه‌تر کنه تا از یه راهی بتونه زندگیشو درست کنه [sep],conform and adjust,Active
41,[cls] یک زن دوساله ازدواج کرده و شوهر عصبی او با کارهایش روانی او را آزار می‌دهد. آنها یک دختر یک ساله دارند که شاهد کتک خوردن مادرش است. در یک دعوای بد، شوهر زن او را می‌زند و تشنج می‌گیرد و دخترش با گریه از خواب بیدار می‌شود. زن دلش گرفته و به دعا کردن نیاز دارد. [sep] برو پزشک قانونی و شکایت کن نمیگم جدا شو فقط بترسونش …جاریه من همین کارو کرد شوهرش دیگه نمیزندش [sep],confront and retaliate,Active
45,[cls] همسرم من را زیر بار کتک گرفت و سرم گیج شده و بدنم کبود شده است. او این را قبول نمی‌کند و می‌گوید فقط سرم را زده است. [sep] برو پزشک قانونی نامه بگیر محض احتیاط [sep],confront and retaliate,Active
47,[cls] زنی که شوهرش او را ضربه زده بود، به خانواده‌اش شکایت کرد. این اتفاق قبلا هم رخ داده بود و خانواده‌اش ناراحت بودند. زن ناراحت است و نمی‌داند چه کاری باید بکند. [sep] دیگه بااااهاش نرو توی جمع [sep],conform and adjust,Active
55,"[cls] دعوای شدید با همسر. ,استفاده از خشونت جسمی. ,صدمات در ران همسر. [sep] برو پزشکی قانونی ازش شکایت کن [sep]",confront and retaliate,Active
57,[cls] یک زن باردار به دلیل خشونت شوهرش از خانه بیرون شده است. او در حال حاضر با مشکلات بارداری مواجه است و به دنبال کمک است. اما احساس می‌کند کسی به او گوش نمی‌دهد. [sep] زنگ بزن به خانوادت بگو بیان نجاتت بدن ممکنه بار بعد مرتیکه روانی گلوت رو کامل ببره برو پزشک قانونی شکایت کن طلاق بگیر هرجوری هست [sep],confront and retaliate,Active
58,[cls] یک زن به دلیل توهم شوهرش به او زور زده و بعد از چند سال دوباره شوهرش به دلیل لجبازی دخترش به او حمله کرده و بحثی بین آنها شکل گرفت. [sep] چرا خونه پدر شوهرت؟ ‌ خونه پدر خودت برو [sep],confront and retaliate,Active
61,[cls] زن و شوهر دعوا کردند، زن پلیس را صدا زد، شوهر در اتاق قفل شد و وسایل زن را بهم ریخت. پلیس نامه و صورت جلسه داد و زن می‌تواند به پزشکی قانونی برود. [sep] برو پزشک قانونی تا یادبگیره دیگه دست رو زن بلند نکنه [sep],confront and retaliate,Active
63,[cls] پدر بابام به شوهرم گفت طلاق بده دخترمو. مهمانان شمالی با عروسشون به خونه شوهرمون اومدن. رابطه خوبی با عروس مهمون داشتم و با اون درباره مشکلاتم حرف زدم. [sep] سلام عزیزم من راستش وارد نیستم اما بنظرم اول از همه خودت بشین فکر کن و اگه میتونی از یه مشاور کمک بگیر از یه مشاور مومن و منطقی و اینکاره بعدم ببین میتونی ببریش مشاور بهش بگو برای اینکه زندگیمون از بحران دربیاد لازمه یه آدم بی‌طرفی باشه تا هم مشکل هایی که من دارم بگه هم مشکلاتی که تو داری تا درست بشه زندگیمون بنظرم نذاری ماجرا سمت لج و لجبازی بره [sep],confront and retaliate,Active
65,[cls] در یک دعوای ناگهانی، دو نفر به هم می‌زنند و تهدید می‌کنند. یکی از آنها عقد نامه را پاره می‌کند و دیگری او را مورد ضرب و شتم قرار می‌دهد. در نهایت، این دو نفر به تصمیم جدایی می‌رسند. [sep] دوتاتون مقصرید بعضی جاها برای اینکه بدتر نشه باید سکوت کرد بعدا تو آرامش گفت [sep],conform and adjust,Active
67,[cls] آقایی برای خواستگاری آمد، اما معتاد بود و دیروز به دلیل مشکلاتی که پیش آمده بود، به دختر کتک زد. دختر می‌خواهد از او شکایت کند و به پزشک قانونی برود. [sep] دختر همین فردا برو پزشکی قانونی تا دیر نشده [sep],confront and retaliate,Active
68,[cls] یک زوج جوان درگیر مشکلات خانگی هستند، همسرشان از غذایی که همسرش درست می‌کند نمی‌خورد و از او دوری می‌کند. همچنین، همسرش با وسایل خانگی و صدای بلندی که می‌کند، او را ناراحت می‌کند. در نهایت، همسرش بدون اطلاع دادن به او، شام خودش را جداگانه می‌خورد و این باعث ناراحتی و افسردگی همسرش می‌شود. [sep] السان جرمه صغیر و جرمه کبیرزبان به دهان بگیر همه بدبختی‌ها زی سر زبان رها شده استفکر کردی من از همسرم آتو ندارم خیلی هم دارم اما به روش نمیارمچیزی که بخاطر بیان ۴تا مساله مسخره از دست میره خیلی بیشتر از لذت گفتن اون نقطه ضعفها و آتو هاست [sep],conform and adjust,Active
72,[cls] یک زن مجبور است با شوهر روانی خود زندگی کند و نمی‌تواند به راحتی از او طلاق بگیرد. پدر او همچنان نمی‌تواند به او کمک کند و شوهرش او را مورد خشونت قرار می‌دهد. او تنها با خدا به عنوان پشتیبان خود است. [sep] برو پلیس از پیاماش اسکرین بگیر و شکایت کن و یه بار بندازش زندان دیگه توبه میکنه [sep],confront and retaliate,Active
73,[cls] یک بحث شدید بین زن و شوهر اتفاق افتاد. همسایگان و پدر شوهر نیز شنیدند و خوشحال شدند. زن به باباش زنگ زد و از خودش پشیمان شد. شوهر هم قهر کرد و بدن زن کبود شد. [sep] تا جاییکه میتونی به هیچ عنوان نذار کسی بفهمه. من چوبشو خیلی بد خوردم. طوریکه الان آرزو میکنم برگردم عقب کاش زنگ نمیزدم. الانم اصلا طرف شوهرت نرو به هیچ عنوان. صبر کن یکی دو روز دیگه خودش آروم میشه. تو دعوام طرفه مردا نباید رفت اونا خشونت با حرکت نشون میدن ما زنا با جیغ و داد. به بابات اینام بگو یه دعوا ساده بود کش پیدا کرد [sep],conform and adjust,Active
76,[cls] درگیری شدید بین زن و شوهر در حضور مادر زن رخ داد. زن به شدت توسط شوهرش ضربه خورد و او رفت. مادر زن نمی‌خواهد شوهر به خانه بازگردد و نیاز به راهنمایی دارد. [sep] خیلی کار بدی کردی فحش دادیاونم جلو مامانت [sep],conform and adjust,Active
77,[cls] یک شخص به دلیل تمرکز بر روی گوشی، ناراحت شده و بعد از دو ماه، به خشم می‌آید و اشیا را می‌شکند. او یک چهره پلاستیکی را به دیوار می‌کوبد و پامش را مجروح می‌کند. شخص دیگری از او ترس دارد و نمی‌داند چه کاری باید بکند. [sep] شما کار خونه الویتت هست، باید وظیفه تو به عنوان زن کامل انجام بدی، اگه بهتون فشاره از کار بیرون انصراف بدید، چون اگه نتونی تعادل برقرار کنی شوهرت از کار منعت. میکنه، بنده خدا زن گرفته دیگه ….. پس آرامش رو به خونت برگردون [sep],conform and adjust,Active
78,[cls] مرد و همسرش درگیر دعواهای شدید شده‌اند. در یک موقعیت، همسر مرد شروع به فحش دادن کرده و مرد نیز فحش داده است. این دعواها به حدی شدید شده که پدر همسر مرد به سمت او حمله کرده است. [sep] چرا ولی شما بدجوری از خجالت هم در اومدید دیگه توهین به خانواده‌ها و کتک کاری خیلی بده یا یه مدت تو دعوا هیچی نگو تا شوهرتم از تو یاد بگیره و احترام بذاره یا طلاق بگیر، چون این زندگی که یکی تو بگی یکی شوهرت به درد نمیخوره مگه اینکه تصمیم بگیرید عوض بشیددرباره مادر شوهرتم بگم اون مثل هر مادری طرف پسرشو گرفته مادر شما هم طرف شمارو میگیره نه شوهرت، هیچوقت نباید از خانواده‌ها انتظار داشته باشی طرف کسی جز بچشونو بگیرن چون نمیتونن [sep],conform and adjust,Active
79,[cls] زن و شوهر بحث می‌کنند، شوهر کتک می‌زند و زن از خانه می‌رود. زن هر دفعه به خانواده خود زنگ می‌زند و شوهر همیشه گوشی و کیف زن را می‌گیرد. زن به خانه مادرش می‌رود و نگران است که زندگی‌اش به خطر بیفتد. [sep] ببخشیدعزیزم دوست داری همون لگدوبخوری؟؟ شماصبروتحملت زیاده حتما،، ینی کتک بخورن حرفی نزنن بسوزن چرا زنهابایدکتک بخورن چرازنهابایدسکوت کنن اگ مرداخیانت کنن میگن اشتباه کردن اشکال ندارع ببخشینولی برعکس زنهاخیانت کنن خیلی معذرت میخام میگن طلاقش بده خرابع هرزه عه فلانه.. ووووف [sep],confront and retaliate,Active
82,[cls] زنی با دختر شش ماهه‌اش که تحت تهدید شوهر خود است، با مشکلاتی روبرو است. او از خانواده و دیگران حمایت نمی‌گیرد و همیشه تهدید می‌شود. شوهرش نیز او را مورد خشونت جنسی و جسمی قرار می‌دهد. [sep] برو ازش شکایت کن برو پزشک قانونی [sep],confront and retaliate,Active
83,[cls] در یک دعوای ناگهانی، دو نفر به هم می‌زنند و تهدید می‌کنند. یکی از آنها عقد نامه را پاره می‌کند و دیگری او را مورد ضرب و شتم قرار می‌دهد. در نهایت، این دو نفر به تصمیم جدایی می‌رسند. [sep] دست بزن همینه دیگه فرق نداره عصبی هم بشه حق نداره بزنه. هیچ ادمی وقتی عصبی نشه نمیزنه که این گفته من عصبی نباشم نمیزنم [sep],confront and retaliate,Active
84,[cls] در یک دعوای خانوادگی، شوهر به زن خود حمله کرده و او را ضربه زده است. سپس با چاقوی بزرگی تهدید کرده که خودش و زن را می‌کشد. [sep] عصبی بوده‌ی حرفی زده و تهدید به قتل کرده وگرنه داره میگه شوهرش تا بحال دست روش بلند نکرده بود [sep],conform and adjust,Active
85,[cls] فردی کتک خورده و خونریزی دارد. پسر او جیغ می‌زند و خدایی را صدا می‌کند. فرد نمی‌داند چه کاری باید انجام دهد. [sep] فکر طلاق نباش با بچه سرگردون میشی اساسی بترسونش برو پزشکی قانونی قهر کن ولی طلاق نگیر [sep],conform and adjust,Active
86,[cls] دعوای خانوادگی شدید، شوهر کتک خورده، شکایت از شوهر. [sep] همیشه دست بزن داره؟؟ اگه اولین بار که حتما شکایت کن که دیگه تکرار نکنه [sep],confront and retaliate,Active
87,[cls] شوهر ایشان به او دست زده و اذیتش می‌کند. دوستان ایشان به خانواده‌اش گفته‌اند. در جریان بحث شدید، شوهر ایشان با زور بازو او را زخمی کرده است. [sep] بهتره خانوادتم برن پزشک قانونی چون شوهرت ممکنه براشون شکایت بکنه حداقل مدرکی داشته باشین [sep],confront and retaliate,Active
88,[cls] شوهر وحشیانه با همسرش رفتار می‌کند، او صورت همسرش را گاز می‌گیرد و به او درد می‌رساند. همچنین، موهای همسرش را می‌کشاند و دماغش را فشار می‌دهد. همسرش از رفتار شوهرش ناراحت است و نمی‌داند چگونه این رفتار را ترک کند. [sep] تو هم متقابلا همینکارا رو بکن باهاش [sep],confront and retaliate,Active
89,[cls] دوستان، دعوای شدید با شوهر، دست شکسته، صورت زخمی و مراجعه به پزشک قانونی با ترس از بد شدن وضعیت. [sep] یعنی پدر و مادرت به کتک خوردن دخترشون راضین؟ میخوای با یه بچه برگردی؟ چرا ازین فرصت برای نجاتت استفاده نمیکنی؟ به فکر مامان باباتی به فکر حرف مردمی واقعا خدارو فراموش کردی؟ خدا اگر بخواد انچنان ارامشی به قلب پدر مادرت میده که وصف نشدنیه به خدا توکل کن با امید به خودش قدم بردار [sep],confront and retaliate,Active
90,[cls] زنی که شوهرش او را مورد خشونت قرار داده بود، به دنبال گوشی همراهش بود. شوهر او ابتدا به سوالات او پاسخ نداد و سپس او را تهدید کرد. در نهایت، شوهر او گوشی همراهش را برداشت و او را تهدید کرد که باید بخوابد. [sep] واقعا چرا این همه زجر تحمل میکنی ما چیکار کنیم زنگ بزن به ۱۱۰ ببرنش شکایت کن پزشک قانونی باباشو جلو چشماش بیار مثلا ما چه بگیم الان [sep],confront and retaliate,Active
91,[cls] فردی که مریض بود، اما آزمایش کروناش منفی بود، به خانه خواهرزنش رفت و متوجه شد که خواهرزنش مثبت است. بعد از چند روز، برادرش به خانه او آمد و به او گفت که چرا اومدی؟ ولی بعد از چند لحظه، برادرش یک بطری آب را به سمت او پرت کرد و او نیز در اتاق شکست. [sep] اشکال نداره دفعه بعدجبران کن چیزی گفت لهش کن بچه هم داری؟ [sep],confront and retaliate,Active
93,[cls] در دعوای دیشب، من شدیدا مورد ضرب و شتم قرار گرفتم و خانواده‌ام همراه من از خانه بیرون شدند. حالا نیاز به راهنمایی برای حفاظت از حضانت بچه دارم. [sep] بچه تا هفت سالگی برای مادره برو شکایت کن ازش. و روی بچرم نشونش نده [sep],confront and retaliate,Active
94,[cls] یک زن به دلیل بی احترامی و فحش دادن به او و ترساندن دختر کوچکش به دنبال راهکاری برای حل مشکل خود می‌گردد. در یک شب، زن به دلیل خاموش کردن برق، با شوهرش درگیر می‌شود و او را مورد خشونت قرار می‌دهد. شوهر همیشه به طلاق اشاره می‌کند و زن در وضعیت نامطلوبی قرار دارد. [sep] افسردگی بعد زایمان گرفته مردا هم می‌گیرن برو نت سرچ کن [sep],conform and adjust,Active
95,"[cls] یک زن مورد خشونت قرار گرفته و وسایل خود را جمع کرده است. ,او قصد دارد پسر خود را برای حفاظت بردارد. ,وضعیت او بسیار ناامن و نگران کننده است. [sep] غصه نخور.. اروم باش با استرس وعجله چیزی درست نمیشه.. فقط دراولین فرصت برو شکایت کن انشالله حضانت بچتو میدن به خودت [sep]",confront and retaliate,Active
96,[cls] شوهرم کتکم زده و وسایل خانه را شکسته، من فیلم از او گرفتم. در دعوا، او هم خودش را زخمی کرد. من از شکایت به کلانتری متنفرم. [sep] بالاخره باید از یه جا شروع کنیشوهرت اوضاع روانش خیلی خرابه [sep],confront and retaliate,Active
98,[cls] شوهرم من را زده و پدرشوهرم می‌خواهد دیه بگیرد. مادر و خواهرانم برای حل اختلاف با پدرشوهرم دعوت شده‌اند. آن‌ها هیچ‌گاه به خانه ما نرفته‌اند و من نمی‌توانم به شوهر خواهرم نگاه کنم. [sep] اول شکایت پدر شوهرت پیگیری کن و سرویسش کن بعد برو برا طلاق اقدام کن [sep],confront and retaliate,Active
100,[cls] شخصی به خانه با دست کثیف برگشت و در یخچال حمله کرد. او خداحافظی کرد و شوهرش ناهار نخورده بود. شوهرش به او گفت که تجریش کباب نخورده است و بعدا برمی‌گردد. او هم ناهار نخورد و به جای آن سوسیس خورد. [sep] چی بگم زن باید سیاست داشته باشه، و عاقل و فهمیده عمل کنه، حالافک کن پدرشوهرو مادرشوهرت پدرو مادر خودت هستن همینجوری باهاشون رفتار میکردی، یا اصلا شوهرت مثل الان شما بااونا رفتار میکرد یه کم فکرکن ببین به خاطر همین چقد تاپیک میزدی وچقد بد شوهرتو میگفتی، خودت فردا مادرشوهر شدی عروست اینحوری باهات رفتار کرد مشکلی نداره، پس توهم تهمین رفتاراتو ادامه بده فردا همینا رو عروست سرت درمیاره، [sep],conform and adjust,Active
102,[cls] یک زن به دلیل نارضایتی بچه‌اش از خانواده شوهرش، توسط شوهر و مادر شوهرش مورد ضرب و شتم قرار گرفت. بچه‌اش دچار درد و زخم‌هایی شد. زن نمی‌داند چه کاری باید بکند. [sep] خانم خونه جای خودش ولی وقتی با دخترش نقل و نبات خونه اینجوری صحبت میکنه پیشنهاد میکنم یه مشاوره برو یا حداقل سنگاتون رو با هم وا بکنین که فک نکنم این بشر حرف حالیش شه ولی ببین چه مرگشه اینجوری که نمیشه زندگی باید به هر دوتای شما خوش بگذره نه اینکه زهرمارش کنه واس طرف مقابلش [sep],confront and retaliate,Active
103,"[cls] یک خانم متاهل از همسرش که سیگار می‌کشد و مشروب می‌نوشد، اذیت می‌شود و بارها به دلیل سیگار کشیدنش توسط او ضربه می‌بیند. خانواده همسرش بی تفاوت هستند و او نمی‌خواهد جدا شود، اما همسرش سختگیر است و اجازه نمی‌دهد که همسرش بی حجاب باشد یا سیگار بکشد. , [sep] قبل از بله گفتن باید تحقیق میکردید الان دیکه کاری نمیشه کرد و عوضش کرد، منم یه خواستگار اینجوری داشتم بااینکه پولدار بود و خانواده خوبی داشت و سالها خاطر خواهم بود تن به ازدواج ندادم [sep]",conform and adjust,Active
104,[cls] یک زن جوان به تازگی عروس شده بود و شوهرش به شدت او را ضربه زده بود. در نهایت، زن به خانه پدرش بازگشت ولی پدرش او را پذیرفت نکرد. پدر زن، او را به عنوان یک عوضی به شوهرش داده بود. [sep] مهریتو بزار اجرا چرا نمیری پزشک قانونی شکایت کنی وقتی پدرت به فکرت نیست خودت باش [sep],confront and retaliate,Active
105,[cls] شوهر بدجنس و خیانتکار است، خرجی نمی‌دهد و به زنان دیگر فحش می‌دهد. زن اقدام به فروش یخچال و لباسشویی شوهرش می‌کند. مادر شوهر نیز به او بدرفتاری می‌کند. [sep] حتما فکر کرده بچه بیاره زندگیش مستحکم میشه بی عقله دیگه [sep],conform and adjust,Active
106,[cls] مشکلات بین زوج جدا از داداش شوهر بود، اما داداش اشتباها درگیر شد. شوهر به داداش گفت که او را مسخره نمی‌کند، اما همسرش به او گفت که بیشتر باید محافظت کند. در نهایت، همسر به اتاق رفت و در رو قفل کرد. [sep] تو هم درجا میزدی تو گوشش میگفتی به تو ربطی نداره زندگیه خودمه … به شوهرتم میگفتی جمع کنه برادر انترشو [sep],confront and retaliate,Active
107,[cls] دختری که تنهاست و هیچ کس پشتیبانش نیست، توسط شوهرش شدیدا مورد ضرب و شتم قرار گرفته است و هیچ کس به او کمک نکرده است. او در گذشته در زندان بوده و هیچ دوستی ندارد. [sep] کوتاه نیا خودتونجات بده وگرنه به سرنوشت اون بیچاره دچارمیشی برو پزشک قانونی شکایت کن ازش تعهد بگیر [sep],confront and retaliate,Active
108,[cls] شوهر پسرش را به دلیل گریه کردن تنبیه کرد و به همین دلیل همسرش را زد. مادر همسر نیز به دلیل بی احترامی به او تنبیه شد و از خانه بیرون شد. در نهایت، شوهر با توجه به گریه فرزندش، همسرش را زده و او را به خانه مادرش فرستاد. [sep] از حال الانت ناراحتم، ولی میدونم نمیتونی زندگیتو ول کنی با وجود یه بچه و حتی مشکلاتت، تنها کاری میتونی بکنی محبت بیشتر حتی با وجود کتک خوردنه و اینکه زبونت رو کنترل کنی، بخاطر بچتم شده تحمل کن، خدا خودش جواب خوبیات رو میده [sep],conform and adjust,Active
